MAV_total,VAR_total,RMS_total,Dedo_pulgar
395.65835411471323,174883.6725,417.6691916049831,Dedo pulgar
327.7630922693267,111371.9625,333.3080061034663,Dedo pulgar
337.34912718204487,125626.8975,353.99662917368886,Dedo pulgar
384.05486284289276,167762.02,409.07659533133926,Dedo pulgar
376.3366583541147,145764.3275,381.3146016564393,Dedo pulgar
378.53366583541145,152212.18,389.6570267603815,Dedo pulgar
411.29675810473816,182889.75,427.12254194248686,Dedo pulgar
382.2493765586035,157181.68,395.96679877946946,Dedo pulgar
318.8428927680798,107390.255,327.2956597295563,Dedo pulgar
383.1246882793017,161276.5975,401.0915250554687,Dedo pulgar
324.46633416458855,108698.2575,329.282841226482,Dedo pulgar
343.8902743142145,122903.59,350.13868289130505,Dedo pulgar
379.74812967581045,171229.1875,413.28220630083723,Dedo pulgar
296.99750623441395,96374.67,310.05537273943264,Dedo pulgar
423.6558603491272,209307.735,456.9308159596659,Dedo pulgar
474.3815461346633,253351.8325,502.7126738197005,Dedo pulgar
329.1197007481297,115159.0625,338.92754799959454,Dedo pulgar
296.54114713216956,92162.1975,303.2035068786988,Dedo pulgar
309.90773067331673,100819.6925,317.1250097681494,Dedo pulgar
299.3092269326683,93472.0675,305.3505691411316,Dedo pulgar
294.27680798004985,89961.1575,299.5610379561178,Dedo pulgar
366.3067331670823,153456.2325,391.2461483879796,Dedo pulgar
330.0947630922693,115791.145,339.85642413735746,Dedo pulgar
307.68827930174564,100346.3975,316.37976722166025,Dedo pulgar
326.9925187032419,114044.945,337.2840696518259,Dedo pulgar
318.0274314214464,105164.9025,323.886779423438,Dedo pulgar
346.45386533665834,125337.415,353.5885361091765,Dedo pulgar
351.6334164588529,129831.9675,359.8724732561262,Dedo pulgar
346.640897755611,128777.3275,358.4078501266664,Dedo pulgar
314.6633416458853,103915.72,321.9574172986483,Dedo pulgar
323.4139650872818,108982.7775,329.71351200701497,Dedo pulgar
295.2269326683292,90431.875,300.3437349142552,Dedo pulgar
251.9226932668329,65763.4125,256.1238254537974,Dedo pulgar
326.0648379052369,114925.06,338.58302355611244,Dedo pulgar
257.19451371571074,71941.9825,267.8853785854136,Dedo pulgar
279.4638403990025,81268.4025,284.720456157638,Dedo pulgar
259.04738154613466,69769.09,263.80883655478453,Dedo pulgar
256.30423940149626,67344.975,259.185324466785,Dedo pulgar
250.20199501246884,65634.9575,255.87356116204276,Dedo pulgar
289.8778054862843,88234.4525,296.672237425164,Dedo pulgar
258.8079800498753,69466.88,263.2368627021808,Dedo pulgar
235.1221945137157,57834.96,240.18895304964028,Dedo pulgar
257.4488778054863,68800.1525,261.97057286531543,Dedo pulgar
274.5162094763092,78856.6225,280.4638525168236,Dedo pulgar
322.0947630922693,110465.675,331.9490917313179,Dedo pulgar
343.0872817955112,122245.705,349.2003047934386,Dedo pulgar
289.21695760598504,89189.275,298.27312627080835,Dedo pulgar
284.1172069825436,86416.3075,293.59973686344523,Dedo pulgar
265.3067331670823,73721.59,271.17843873713525,Dedo pulgar
275.29675810473816,81985.335,285.9735700952406,Dedo pulgar
255.73815461346632,70116.4975,264.46482448809934,Dedo pulgar
266.8304239401496,76719.1675,276.63667125003377,Dedo pulgar
267.0448877805486,75881.3075,275.12193170798497,Dedo pulgar
284.70324189526184,87615.225,295.6293848166692,Dedo pulgar
295.5361596009975,93490.95,305.38140985705775,Dedo pulgar
306.8428927680798,100544.5,316.6919095683294,Dedo pulgar
329.785536159601,118784.62,344.2214389059661,Dedo pulgar
321.9576059850374,110233.7625,331.60046039874305,Dedo pulgar
306.7655860349127,97052.6625,311.14407580769466,Dedo pulgar
326.31920199501246,111246.21,333.11978030421005,Dedo pulgar
296.67331670822944,93686.76,305.7010421670899,Dedo pulgar
294.1246882793017,92645.565,303.9975800533686,Dedo pulgar
318.3366583541147,109784.8625,330.9245907877351,Dedo pulgar
342.27431421446386,127290.08,356.33221630811374,Dedo pulgar
323.5660847880299,112119.685,334.4250062241607,Dedo pulgar
300.0648379052369,94957.735,307.76766020543675,Dedo pulgar
340.286783042394,125102.0825,353.25643268300183,Dedo pulgar
315.33915211970077,108230.9425,328.57425325221294,Dedo pulgar
311.8952618453865,102184.785,319.2647179062394,Dedo pulgar
307.3253424657534,104166.11340206186,322.1946308320272,Dedo pulgar
