MAV_total,VAR_total,RMS_total,Mano_cerrada
480.3441396508728,258244.05,507.5431507520437,Mano cerrada
341.1072319201995,135654.245,367.85317058878184,Mano cerrada
268.4713216957606,77630.3275,278.2745688359752,Mano cerrada
351.92269326683294,140083.2025,373.8099354356756,Mano cerrada
291.46633416458855,91258.595,301.71346913314807,Mano cerrada
278.6832917705736,80696.685,283.71719437503236,Mano cerrada
309.3216957605985,98385.805,313.2737682368836,Mano cerrada
278.38653366583543,80926.3275,284.1206015224456,Mano cerrada
264.1720698254364,72680.7375,269.25729103973185,Mano cerrada
282.3990024937656,83570.09,288.72423830627065,Mano cerrada
284.28428927680795,90668.79,300.73690044916435,Mano cerrada
275.788029925187,81162.8325,284.53546601688583,Mano cerrada
277.6907730673317,82205.53,286.3573443764002,Mano cerrada
453.2643391521197,265123.0125,514.2585515626955,Mano cerrada
479.73815461346635,271050.3175,519.9753662878028,Mano cerrada
363.5635910224439,141456.1975,375.63737687128946,Mano cerrada
367.6334164588529,145835.9975,381.40833329678236,Mano cerrada
387.3142144638404,169842.6875,411.60556319232717,Mano cerrada
408.927680798005,188558.1,433.69099633177984,Mano cerrada
326.00498753117205,111532.235,333.5477473325572,Mano cerrada
343.31920199501246,135003.0925,366.96924453408246,Mano cerrada
315.1620947630923,106346.36,325.70102411142636,Mano cerrada
311.0448877805486,104670.0175,323.1238075606142,Mano cerrada
368.8952618453865,167169.7375,408.35383598246756,Mano cerrada
347.45386533665834,140221.6875,373.9946623700621,Mano cerrada
357.2942643391521,144278.0725,379.3656241780218,Mano cerrada
316.59850374064837,112729.71,335.3335481705913,Mano cerrada
319.73815461346635,109162.4275,329.9851542039618,Mano cerrada
359.00249376558605,144727.78,379.9563959757656,Mano cerrada
379.65835411471323,166583.9675,407.63776338148966,Mano cerrada
357.426433915212,140317.38,374.1222545460687,Mano cerrada
413.20448877805484,196069.4125,442.24479798708023,Mano cerrada
369.3488372093023,157955.79766536964,396.6655592454087,Mano cerrada
