MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_anular
514.82,285938.8484848485,532.0521215069065,2476,39.92998923621243,112.17160000000001,51482,Dedo anular
493.5,260064.46464646465,507.4089277890171,2240,38.034805963044754,101.67,49350,Dedo anular
696.6,516913.9393939394,715.3634041520436,2031,30.064408972549035,130.984,69660,Dedo anular
607.65,386479.22222222225,618.5583480966044,2348,42.743066068892354,95.21999999999997,60765,Dedo anular
532.49,292394.2525252525,538.0244511172332,1643,25.978040454556727,54.8574,53249,Dedo anular
503.94,278582.7878787879,525.1637458926501,2536,44.304273911990556,120.60080000000004,50394,Dedo anular
636.97,446974.2121212121,665.2100946317637,2073,34.84293763491108,152.982,63697,Dedo anular
701.24,521692.38383838383,718.6622711677579,1513,19.906600093253676,112.06479999999999,70124,Dedo anular
555.62,320325.5353535354,563.1361114331064,2100,30.412318078520272,70.31519999999999,55562,Dedo anular
478.59,243627.8282828283,491.1125634719601,2400,39.12605889747247,85.18139999999998,47859,Dedo anular
542.48,312463.43434343435,556.1823442001732,1817,27.470645489983735,108.07759999999999,54248,Dedo anular
503.48,275602.44444444444,522.3470302394759,2224,42.19531306252443,110.75360000000002,50348,Dedo anular
569.85,338873.42424242425,579.2104021855961,1948,27.47818234619068,80.06400000000002,56985,Dedo anular
600.8,381180.6060606061,614.3035080479356,2239,30.559265155901358,118.92800000000003,60080,Dedo anular
540.81,318013.404040404,561.1000534664028,2243,38.13280885420206,127.13959999999997,54081,Dedo anular
477.77,248029.28282828283,495.5290001604346,2256,35.57549945701622,90.65339999999998,47777,Dedo anular
587.6,368971.17171717173,604.3851917444703,2177,37.243533775419436,120.064,58760,Dedo anular
532.28,302913.69696969696,547.6171655454201,2214,32.55857192907278,110.97279999999999,53228,Dedo anular
